,Logistic Regression,KNN,Naive Bayes (Gaussian),SVM,Random Forest,Gradient Boosting (LightGBM)
intents_38,"{'accuracy_score': 0.38, 'precision_score': 0.26, 'recall_score': 0.29, 'f1_score': 0.24}","{'accuracy_score': 0.5, 'precision_score': 0.44, 'recall_score': 0.45, 'f1_score': 0.42}","{'accuracy_score': 0.44, 'precision_score': 0.45, 'recall_score': 0.46, 'f1_score': 0.42}","{'accuracy_score': 0.51, 'precision_score': 0.43, 'recall_score': 0.47, 'f1_score': 0.41}","{'accuracy_score': 0.46, 'precision_score': 0.38, 'recall_score': 0.41, 'f1_score': 0.37}","{'accuracy_score': 0.46, 'precision_score': 0.4, 'recall_score': 0.43, 'f1_score': 0.38}"
intents_39,"{'accuracy_score': 0.53, 'precision_score': 0.5, 'recall_score': 0.45, 'f1_score': 0.43}","{'accuracy_score': 0.67, 'precision_score': 0.64, 'recall_score': 0.63, 'f1_score': 0.61}","{'accuracy_score': 0.65, 'precision_score': 0.6, 'recall_score': 0.62, 'f1_score': 0.59}","{'accuracy_score': 0.7, 'precision_score': 0.65, 'recall_score': 0.65, 'f1_score': 0.63}","{'accuracy_score': 0.72, 'precision_score': 0.68, 'recall_score': 0.69, 'f1_score': 0.65}","{'accuracy_score': 0.63, 'precision_score': 0.59, 'recall_score': 0.62, 'f1_score': 0.58}"
intents_40,"{'accuracy_score': 0.4, 'precision_score': 0.26, 'recall_score': 0.29, 'f1_score': 0.24}","{'accuracy_score': 0.55, 'precision_score': 0.48, 'recall_score': 0.48, 'f1_score': 0.46}","{'accuracy_score': 0.43, 'precision_score': 0.43, 'recall_score': 0.46, 'f1_score': 0.4}","{'accuracy_score': 0.54, 'precision_score': 0.43, 'recall_score': 0.47, 'f1_score': 0.42}","{'accuracy_score': 0.54, 'precision_score': 0.44, 'recall_score': 0.47, 'f1_score': 0.43}","{'accuracy_score': 0.52, 'precision_score': 0.45, 'recall_score': 0.47, 'f1_score': 0.43}"
intents_41,"{'accuracy_score': 0.33, 'precision_score': 0.24, 'recall_score': 0.23, 'f1_score': 0.2}","{'accuracy_score': 0.48, 'precision_score': 0.44, 'recall_score': 0.45, 'f1_score': 0.42}","{'accuracy_score': 0.46, 'precision_score': 0.47, 'recall_score': 0.49, 'f1_score': 0.44}","{'accuracy_score': 0.48, 'precision_score': 0.4, 'recall_score': 0.45, 'f1_score': 0.39}","{'accuracy_score': 0.5, 'precision_score': 0.44, 'recall_score': 0.48, 'f1_score': 0.43}","{'accuracy_score': 0.46, 'precision_score': 0.41, 'recall_score': 0.44, 'f1_score': 0.4}"
intents_42,"{'accuracy_score': 0.64, 'precision_score': 0.12, 'recall_score': 0.08, 'f1_score': 0.1}","{'accuracy_score': 0.66, 'precision_score': 0.37, 'recall_score': 0.34, 'f1_score': 0.34}","{'accuracy_score': 0.7, 'precision_score': 0.28, 'recall_score': 0.29, 'f1_score': 0.28}","{'accuracy_score': 0.66, 'precision_score': 0.15, 'recall_score': 0.15, 'f1_score': 0.13}","{'accuracy_score': 0.75, 'precision_score': 0.27, 'recall_score': 0.36, 'f1_score': 0.3}","{'accuracy_score': 0.79, 'precision_score': 0.37, 'recall_score': 0.44, 'f1_score': 0.39}"
intents_43,"{'accuracy_score': 0.21, 'precision_score': 0.17, 'recall_score': 0.07, 'f1_score': 0.09}","{'accuracy_score': 0.32, 'precision_score': 0.19, 'recall_score': 0.17, 'f1_score': 0.18}","{'accuracy_score': 0.18, 'precision_score': 0.11, 'recall_score': 0.06, 'f1_score': 0.07}","{'accuracy_score': 0.24, 'precision_score': 0.2, 'recall_score': 0.09, 'f1_score': 0.11}","{'accuracy_score': 0.24, 'precision_score': 0.18, 'recall_score': 0.12, 'f1_score': 0.14}","{'accuracy_score': 0.26, 'precision_score': 0.15, 'recall_score': 0.11, 'f1_score': 0.12}"
intents_44,"{'accuracy_score': 0.22, 'precision_score': 0.15, 'recall_score': 0.12, 'f1_score': 0.1}","{'accuracy_score': 0.52, 'precision_score': 0.35, 'recall_score': 0.33, 'f1_score': 0.32}","{'accuracy_score': 0.33, 'precision_score': 0.2, 'recall_score': 0.17, 'f1_score': 0.15}","{'accuracy_score': 0.26, 'precision_score': 0.17, 'recall_score': 0.12, 'f1_score': 0.11}","{'accuracy_score': 0.44, 'precision_score': 0.24, 'recall_score': 0.22, 'f1_score': 0.21}","{'accuracy_score': 0.33, 'precision_score': 0.16, 'recall_score': 0.19, 'f1_score': 0.15}"
intents_45,"{'accuracy_score': 0.36, 'precision_score': 0.13, 'recall_score': 0.07, 'f1_score': 0.09}","{'accuracy_score': 0.27, 'precision_score': 0.11, 'recall_score': 0.12, 'f1_score': 0.1}","{'accuracy_score': 0.41, 'precision_score': 0.13, 'recall_score': 0.13, 'f1_score': 0.12}","{'accuracy_score': 0.36, 'precision_score': 0.12, 'recall_score': 0.06, 'f1_score': 0.09}","{'accuracy_score': 0.41, 'precision_score': 0.17, 'recall_score': 0.15, 'f1_score': 0.15}","{'accuracy_score': 0.41, 'precision_score': 0.18, 'recall_score': 0.16, 'f1_score': 0.16}"
intents_46,"{'accuracy_score': 0.59, 'precision_score': 0.42, 'recall_score': 0.39, 'f1_score': 0.38}","{'accuracy_score': 0.67, 'precision_score': 0.6, 'recall_score': 0.58, 'f1_score': 0.56}","{'accuracy_score': 0.66, 'precision_score': 0.59, 'recall_score': 0.58, 'f1_score': 0.56}","{'accuracy_score': 0.64, 'precision_score': 0.54, 'recall_score': 0.53, 'f1_score': 0.51}","{'accuracy_score': 0.69, 'precision_score': 0.58, 'recall_score': 0.59, 'f1_score': 0.56}","{'accuracy_score': 0.65, 'precision_score': 0.55, 'recall_score': 0.54, 'f1_score': 0.52}"
intents_47,"{'accuracy_score': 0.73, 'precision_score': 0.63, 'recall_score': 0.66, 'f1_score': 0.63}","{'accuracy_score': 0.71, 'precision_score': 0.63, 'recall_score': 0.65, 'f1_score': 0.62}","{'accuracy_score': 0.71, 'precision_score': 0.7, 'recall_score': 0.69, 'f1_score': 0.69}","{'accuracy_score': 0.75, 'precision_score': 0.66, 'recall_score': 0.72, 'f1_score': 0.68}","{'accuracy_score': 0.73, 'precision_score': 0.64, 'recall_score': 0.7, 'f1_score': 0.65}","{'accuracy_score': 0.21, 'precision_score': 0.18, 'recall_score': 0.19, 'f1_score': 0.17}"
intents_48,"{'accuracy_score': 0.73, 'precision_score': 0.39, 'recall_score': 0.44, 'f1_score': 0.39}","{'accuracy_score': 0.8, 'precision_score': 0.7, 'recall_score': 0.75, 'f1_score': 0.71}","{'accuracy_score': 0.8, 'precision_score': 0.67, 'recall_score': 0.66, 'f1_score': 0.65}","{'accuracy_score': 0.81, 'precision_score': 0.54, 'recall_score': 0.58, 'f1_score': 0.55}","{'accuracy_score': 0.77, 'precision_score': 0.47, 'recall_score': 0.6, 'f1_score': 0.5}","{'accuracy_score': 0.81, 'precision_score': 0.66, 'recall_score': 0.8, 'f1_score': 0.7}"
intents_49,"{'accuracy_score': 0.43, 'precision_score': 0.46, 'recall_score': 0.45, 'f1_score': 0.42}","{'accuracy_score': 0.43, 'precision_score': 0.42, 'recall_score': 0.42, 'f1_score': 0.42}","{'accuracy_score': 0.29, 'precision_score': 0.19, 'recall_score': 0.25, 'f1_score': 0.21}","{'accuracy_score': 0.43, 'precision_score': 0.46, 'recall_score': 0.45, 'f1_score': 0.42}","{'accuracy_score': 0.43, 'precision_score': 0.28, 'recall_score': 0.33, 'f1_score': 0.3}","{'accuracy_score': 0.57, 'precision_score': 0.5, 'recall_score': 0.29, 'f1_score': 0.36}"
intents_50,"{'accuracy_score': 0.53, 'precision_score': 0.25, 'recall_score': 0.18, 'f1_score': 0.2}","{'accuracy_score': 0.65, 'precision_score': 0.38, 'recall_score': 0.35, 'f1_score': 0.35}","{'accuracy_score': 0.6, 'precision_score': 0.33, 'recall_score': 0.3, 'f1_score': 0.3}","{'accuracy_score': 0.64, 'precision_score': 0.37, 'recall_score': 0.31, 'f1_score': 0.32}","{'accuracy_score': 0.64, 'precision_score': 0.33, 'recall_score': 0.28, 'f1_score': 0.29}","{'accuracy_score': 0.64, 'precision_score': 0.31, 'recall_score': 0.29, 'f1_score': 0.29}"
intents_51,"{'accuracy_score': 0.47, 'precision_score': 0.36, 'recall_score': 0.31, 'f1_score': 0.31}","{'accuracy_score': 0.71, 'precision_score': 0.58, 'recall_score': 0.53, 'f1_score': 0.54}","{'accuracy_score': 0.68, 'precision_score': 0.57, 'recall_score': 0.59, 'f1_score': 0.56}","{'accuracy_score': 0.66, 'precision_score': 0.57, 'recall_score': 0.56, 'f1_score': 0.53}","{'accuracy_score': 0.69, 'precision_score': 0.55, 'recall_score': 0.54, 'f1_score': 0.53}","{'accuracy_score': 0.65, 'precision_score': 0.5, 'recall_score': 0.49, 'f1_score': 0.46}"
intents_52,"{'accuracy_score': 0.5, 'precision_score': 0.42, 'recall_score': 0.4, 'f1_score': 0.37}","{'accuracy_score': 0.68, 'precision_score': 0.57, 'recall_score': 0.61, 'f1_score': 0.56}","{'accuracy_score': 0.68, 'precision_score': 0.61, 'recall_score': 0.64, 'f1_score': 0.59}","{'accuracy_score': 0.65, 'precision_score': 0.59, 'recall_score': 0.6, 'f1_score': 0.55}","{'accuracy_score': 0.66, 'precision_score': 0.59, 'recall_score': 0.63, 'f1_score': 0.56}","{'accuracy_score': 0.62, 'precision_score': 0.53, 'recall_score': 0.56, 'f1_score': 0.52}"
intents_53,"{'accuracy_score': 0.63, 'precision_score': 0.52, 'recall_score': 0.57, 'f1_score': 0.5}","{'accuracy_score': 0.71, 'precision_score': 0.68, 'recall_score': 0.7, 'f1_score': 0.66}","{'accuracy_score': 0.7, 'precision_score': 0.66, 'recall_score': 0.71, 'f1_score': 0.65}","{'accuracy_score': 0.76, 'precision_score': 0.67, 'recall_score': 0.73, 'f1_score': 0.67}","{'accuracy_score': 0.73, 'precision_score': 0.68, 'recall_score': 0.72, 'f1_score': 0.67}","{'accuracy_score': 0.69, 'precision_score': 0.63, 'recall_score': 0.66, 'f1_score': 0.62}"
intents_54,"{'accuracy_score': 0.42, 'precision_score': 0.34, 'recall_score': 0.36, 'f1_score': 0.32}","{'accuracy_score': 0.53, 'precision_score': 0.53, 'recall_score': 0.54, 'f1_score': 0.51}","{'accuracy_score': 0.47, 'precision_score': 0.48, 'recall_score': 0.52, 'f1_score': 0.47}","{'accuracy_score': 0.51, 'precision_score': 0.45, 'recall_score': 0.5, 'f1_score': 0.42}","{'accuracy_score': 0.56, 'precision_score': 0.53, 'recall_score': 0.55, 'f1_score': 0.52}","{'accuracy_score': 0.52, 'precision_score': 0.47, 'recall_score': 0.52, 'f1_score': 0.46}"
intents_55,"{'accuracy_score': 0.56, 'precision_score': 0.45, 'recall_score': 0.39, 'f1_score': 0.39}","{'accuracy_score': 0.67, 'precision_score': 0.58, 'recall_score': 0.52, 'f1_score': 0.51}","{'accuracy_score': 0.65, 'precision_score': 0.56, 'recall_score': 0.52, 'f1_score': 0.49}","{'accuracy_score': 0.69, 'precision_score': 0.58, 'recall_score': 0.48, 'f1_score': 0.51}","{'accuracy_score': 0.7, 'precision_score': 0.58, 'recall_score': 0.54, 'f1_score': 0.52}","{'accuracy_score': 0.68, 'precision_score': 0.57, 'recall_score': 0.53, 'f1_score': 0.53}"
intents_56,"{'accuracy_score': 0.25, 'precision_score': 0.33, 'recall_score': 0.08, 'f1_score': 0.13}","{'accuracy_score': 0.5, 'precision_score': 0.67, 'recall_score': 0.44, 'f1_score': 0.5}","{'accuracy_score': 0.5, 'precision_score': 0.67, 'recall_score': 0.44, 'f1_score': 0.5}","{'accuracy_score': 0.5, 'precision_score': 0.67, 'recall_score': 0.44, 'f1_score': 0.5}","{'accuracy_score': 0.5, 'precision_score': 0.67, 'recall_score': 0.44, 'f1_score': 0.5}","{'accuracy_score': 0.25, 'precision_score': 0.33, 'recall_score': 0.08, 'f1_score': 0.13}"
intents_57,"{'accuracy_score': 0.43, 'precision_score': 0.34, 'recall_score': 0.45, 'f1_score': 0.34}","{'accuracy_score': 0.57, 'precision_score': 0.55, 'recall_score': 0.6, 'f1_score': 0.54}","{'accuracy_score': 0.45, 'precision_score': 0.41, 'recall_score': 0.5, 'f1_score': 0.42}","{'accuracy_score': 0.51, 'precision_score': 0.45, 'recall_score': 0.62, 'f1_score': 0.47}","{'accuracy_score': 0.53, 'precision_score': 0.46, 'recall_score': 0.61, 'f1_score': 0.49}","{'accuracy_score': 0.52, 'precision_score': 0.46, 'recall_score': 0.58, 'f1_score': 0.48}"
intents_58,"{'accuracy_score': 0.56, 'precision_score': 0.41, 'recall_score': 0.29, 'f1_score': 0.33}","{'accuracy_score': 0.52, 'precision_score': 0.43, 'recall_score': 0.4, 'f1_score': 0.39}","{'accuracy_score': 0.68, 'precision_score': 0.52, 'recall_score': 0.47, 'f1_score': 0.48}","{'accuracy_score': 0.56, 'precision_score': 0.42, 'recall_score': 0.35, 'f1_score': 0.37}","{'accuracy_score': 0.56, 'precision_score': 0.4, 'recall_score': 0.28, 'f1_score': 0.32}","{'accuracy_score': 0.52, 'precision_score': 0.35, 'recall_score': 0.31, 'f1_score': 0.32}"
intents_59,"{'accuracy_score': 0.54, 'precision_score': 0.19, 'recall_score': 0.16, 'f1_score': 0.17}","{'accuracy_score': 0.67, 'precision_score': 0.57, 'recall_score': 0.51, 'f1_score': 0.52}","{'accuracy_score': 0.59, 'precision_score': 0.42, 'recall_score': 0.42, 'f1_score': 0.42}","{'accuracy_score': 0.65, 'precision_score': 0.49, 'recall_score': 0.53, 'f1_score': 0.5}","{'accuracy_score': 0.65, 'precision_score': 0.53, 'recall_score': 0.54, 'f1_score': 0.51}","{'accuracy_score': 0.67, 'precision_score': 0.53, 'recall_score': 0.53, 'f1_score': 0.52}"
intents_60,"{'accuracy_score': 0.5, 'precision_score': 0.5, 'recall_score': 0.25, 'f1_score': 0.33}","{'accuracy_score': 0.5, 'precision_score': 0.5, 'recall_score': 0.25, 'f1_score': 0.33}","{'accuracy_score': 0.5, 'precision_score': 0.5, 'recall_score': 0.25, 'f1_score': 0.33}","{'accuracy_score': 0.5, 'precision_score': 0.5, 'recall_score': 0.25, 'f1_score': 0.33}","{'accuracy_score': 0.5, 'precision_score': 0.5, 'recall_score': 0.25, 'f1_score': 0.33}","{'accuracy_score': 0.5, 'precision_score': 0.5, 'recall_score': 0.25, 'f1_score': 0.33}"
intents_61,"{'accuracy_score': 0.54, 'precision_score': 0.19, 'recall_score': 0.16, 'f1_score': 0.17}","{'accuracy_score': 0.67, 'precision_score': 0.57, 'recall_score': 0.51, 'f1_score': 0.52}","{'accuracy_score': 0.59, 'precision_score': 0.42, 'recall_score': 0.42, 'f1_score': 0.42}","{'accuracy_score': 0.65, 'precision_score': 0.49, 'recall_score': 0.53, 'f1_score': 0.5}","{'accuracy_score': 0.67, 'precision_score': 0.58, 'recall_score': 0.57, 'f1_score': 0.54}","{'accuracy_score': 0.67, 'precision_score': 0.53, 'recall_score': 0.53, 'f1_score': 0.52}"
intents_62,"{'accuracy_score': 0.29, 'precision_score': 0.22, 'recall_score': 0.17, 'f1_score': 0.16}","{'accuracy_score': 0.46, 'precision_score': 0.43, 'recall_score': 0.41, 'f1_score': 0.38}","{'accuracy_score': 0.5, 'precision_score': 0.48, 'recall_score': 0.49, 'f1_score': 0.45}","{'accuracy_score': 0.45, 'precision_score': 0.44, 'recall_score': 0.4, 'f1_score': 0.38}","{'accuracy_score': 0.46, 'precision_score': 0.42, 'recall_score': 0.41, 'f1_score': 0.39}","{'accuracy_score': 0.41, 'precision_score': 0.38, 'recall_score': 0.37, 'f1_score': 0.34}"
intents_63,"{'accuracy_score': 0.26, 'precision_score': 0.23, 'recall_score': 0.17, 'f1_score': 0.18}","{'accuracy_score': 0.42, 'precision_score': 0.3, 'recall_score': 0.28, 'f1_score': 0.26}","{'accuracy_score': 0.29, 'precision_score': 0.26, 'recall_score': 0.29, 'f1_score': 0.26}","{'accuracy_score': 0.26, 'precision_score': 0.21, 'recall_score': 0.18, 'f1_score': 0.17}","{'accuracy_score': 0.58, 'precision_score': 0.49, 'recall_score': 0.51, 'f1_score': 0.47}","{'accuracy_score': 0.48, 'precision_score': 0.41, 'recall_score': 0.38, 'f1_score': 0.37}"
intents_64,"{'accuracy_score': 0.23, 'precision_score': 0.14, 'recall_score': 0.04, 'f1_score': 0.06}","{'accuracy_score': 0.46, 'precision_score': 0.35, 'recall_score': 0.45, 'f1_score': 0.36}","{'accuracy_score': 0.46, 'precision_score': 0.29, 'recall_score': 0.28, 'f1_score': 0.26}","{'accuracy_score': 0.31, 'precision_score': 0.21, 'recall_score': 0.11, 'f1_score': 0.13}","{'accuracy_score': 0.54, 'precision_score': 0.42, 'recall_score': 0.45, 'f1_score': 0.41}","{'accuracy_score': 0.54, 'precision_score': 0.42, 'recall_score': 0.45, 'f1_score': 0.41}"
intents_65,"{'accuracy_score': 0.66, 'precision_score': 0.62, 'recall_score': 0.52, 'f1_score': 0.54}","{'accuracy_score': 0.8, 'precision_score': 0.81, 'recall_score': 0.69, 'f1_score': 0.7}","{'accuracy_score': 0.77, 'precision_score': 0.67, 'recall_score': 0.66, 'f1_score': 0.63}","{'accuracy_score': 0.76, 'precision_score': 0.71, 'recall_score': 0.69, 'f1_score': 0.65}","{'accuracy_score': 0.79, 'precision_score': 0.71, 'recall_score': 0.7, 'f1_score': 0.68}","{'accuracy_score': 0.76, 'precision_score': 0.72, 'recall_score': 0.68, 'f1_score': 0.67}"
intents_66,"{'accuracy_score': 0.42, 'precision_score': 0.3, 'recall_score': 0.26, 'f1_score': 0.24}","{'accuracy_score': 0.41, 'precision_score': 0.33, 'recall_score': 0.34, 'f1_score': 0.31}","{'accuracy_score': 0.44, 'precision_score': 0.37, 'recall_score': 0.39, 'f1_score': 0.35}","{'accuracy_score': 0.55, 'precision_score': 0.42, 'recall_score': 0.37, 'f1_score': 0.36}","{'accuracy_score': 0.38, 'precision_score': 0.32, 'recall_score': 0.31, 'f1_score': 0.29}","{'accuracy_score': 0.42, 'precision_score': 0.36, 'recall_score': 0.39, 'f1_score': 0.34}"
intents_67,"{'accuracy_score': 0.36, 'precision_score': 0.33, 'recall_score': 0.21, 'f1_score': 0.23}","{'accuracy_score': 0.34, 'precision_score': 0.3, 'recall_score': 0.28, 'f1_score': 0.28}","{'accuracy_score': 0.35, 'precision_score': 0.35, 'recall_score': 0.34, 'f1_score': 0.32}","{'accuracy_score': 0.44, 'precision_score': 0.42, 'recall_score': 0.31, 'f1_score': 0.32}","{'accuracy_score': 0.34, 'precision_score': 0.35, 'recall_score': 0.31, 'f1_score': 0.3}","{'accuracy_score': 0.34, 'precision_score': 0.35, 'recall_score': 0.34, 'f1_score': 0.31}"
intents_68,"{'accuracy_score': 0.42, 'precision_score': 0.3, 'recall_score': 0.26, 'f1_score': 0.24}","{'accuracy_score': 0.41, 'precision_score': 0.33, 'recall_score': 0.34, 'f1_score': 0.31}","{'accuracy_score': 0.44, 'precision_score': 0.37, 'recall_score': 0.39, 'f1_score': 0.35}","{'accuracy_score': 0.55, 'precision_score': 0.42, 'recall_score': 0.37, 'f1_score': 0.36}","{'accuracy_score': 0.46, 'precision_score': 0.39, 'recall_score': 0.38, 'f1_score': 0.36}","{'accuracy_score': 0.42, 'precision_score': 0.36, 'recall_score': 0.39, 'f1_score': 0.34}"
intents_69,"{'accuracy_score': 0.36, 'precision_score': 0.33, 'recall_score': 0.21, 'f1_score': 0.23}","{'accuracy_score': 0.34, 'precision_score': 0.3, 'recall_score': 0.28, 'f1_score': 0.28}","{'accuracy_score': 0.35, 'precision_score': 0.35, 'recall_score': 0.34, 'f1_score': 0.32}","{'accuracy_score': 0.44, 'precision_score': 0.42, 'recall_score': 0.31, 'f1_score': 0.32}","{'accuracy_score': 0.4, 'precision_score': 0.39, 'recall_score': 0.38, 'f1_score': 0.35}","{'accuracy_score': 0.34, 'precision_score': 0.35, 'recall_score': 0.34, 'f1_score': 0.31}"
intents_70,"{'accuracy_score': 0.42, 'precision_score': 0.3, 'recall_score': 0.26, 'f1_score': 0.24}","{'accuracy_score': 0.41, 'precision_score': 0.33, 'recall_score': 0.34, 'f1_score': 0.31}","{'accuracy_score': 0.44, 'precision_score': 0.37, 'recall_score': 0.39, 'f1_score': 0.35}","{'accuracy_score': 0.55, 'precision_score': 0.42, 'recall_score': 0.37, 'f1_score': 0.36}","{'accuracy_score': 0.44, 'precision_score': 0.38, 'recall_score': 0.37, 'f1_score': 0.34}","{'accuracy_score': 0.42, 'precision_score': 0.36, 'recall_score': 0.39, 'f1_score': 0.34}"
intents_71,"{'accuracy_score': 0.55, 'precision_score': 0.35, 'recall_score': 0.31, 'f1_score': 0.32}","{'accuracy_score': 0.69, 'precision_score': 0.56, 'recall_score': 0.57, 'f1_score': 0.54}","{'accuracy_score': 0.65, 'precision_score': 0.57, 'recall_score': 0.58, 'f1_score': 0.55}","{'accuracy_score': 0.64, 'precision_score': 0.48, 'recall_score': 0.5, 'f1_score': 0.47}","{'accuracy_score': 0.68, 'precision_score': 0.54, 'recall_score': 0.59, 'f1_score': 0.54}","{'accuracy_score': 0.66, 'precision_score': 0.51, 'recall_score': 0.54, 'f1_score': 0.5}"
intents_72,"{'accuracy_score': 0.45, 'precision_score': 0.29, 'recall_score': 0.37, 'f1_score': 0.28}","{'accuracy_score': 0.7, 'precision_score': 0.7, 'recall_score': 0.68, 'f1_score': 0.65}","{'accuracy_score': 0.63, 'precision_score': 0.63, 'recall_score': 0.68, 'f1_score': 0.62}","{'accuracy_score': 0.63, 'precision_score': 0.54, 'recall_score': 0.61, 'f1_score': 0.54}","{'accuracy_score': 0.62, 'precision_score': 0.55, 'recall_score': 0.68, 'f1_score': 0.58}","{'accuracy_score': 0.68, 'precision_score': 0.62, 'recall_score': 0.68, 'f1_score': 0.61}"
intents_73,"{'accuracy_score': 0.48, 'precision_score': 0.3, 'recall_score': 0.37, 'f1_score': 0.3}","{'accuracy_score': 0.69, 'precision_score': 0.66, 'recall_score': 0.63, 'f1_score': 0.62}","{'accuracy_score': 0.64, 'precision_score': 0.57, 'recall_score': 0.6, 'f1_score': 0.55}","{'accuracy_score': 0.61, 'precision_score': 0.47, 'recall_score': 0.48, 'f1_score': 0.46}","{'accuracy_score': 0.68, 'precision_score': 0.55, 'recall_score': 0.63, 'f1_score': 0.56}","{'accuracy_score': 0.65, 'precision_score': 0.54, 'recall_score': 0.61, 'f1_score': 0.56}"
intents_74,"{'accuracy_score': 0.43, 'precision_score': 0.28, 'recall_score': 0.34, 'f1_score': 0.28}","{'accuracy_score': 0.68, 'precision_score': 0.66, 'recall_score': 0.7, 'f1_score': 0.65}","{'accuracy_score': 0.65, 'precision_score': 0.62, 'recall_score': 0.68, 'f1_score': 0.63}","{'accuracy_score': 0.58, 'precision_score': 0.49, 'recall_score': 0.58, 'f1_score': 0.51}","{'accuracy_score': 0.66, 'precision_score': 0.6, 'recall_score': 0.7, 'f1_score': 0.62}","{'accuracy_score': 0.57, 'precision_score': 0.53, 'recall_score': 0.57, 'f1_score': 0.52}"
intents_75,"{'accuracy_score': 0.74, 'precision_score': 0.8, 'recall_score': 0.83, 'f1_score': 0.77}","{'accuracy_score': 0.71, 'precision_score': 0.7, 'recall_score': 0.75, 'f1_score': 0.69}","{'accuracy_score': 0.9, 'precision_score': 0.91, 'recall_score': 0.91, 'f1_score': 0.88}","{'accuracy_score': 0.84, 'precision_score': 0.85, 'recall_score': 0.86, 'f1_score': 0.84}","{'accuracy_score': 0.87, 'precision_score': 0.86, 'recall_score': 0.85, 'f1_score': 0.85}","{'accuracy_score': 0.9, 'precision_score': 0.94, 'recall_score': 0.91, 'f1_score': 0.91}"
intents_76,"{'accuracy_score': 0.74, 'precision_score': 0.8, 'recall_score': 0.83, 'f1_score': 0.77}","{'accuracy_score': 0.71, 'precision_score': 0.7, 'recall_score': 0.75, 'f1_score': 0.69}","{'accuracy_score': 0.9, 'precision_score': 0.91, 'recall_score': 0.91, 'f1_score': 0.88}","{'accuracy_score': 0.84, 'precision_score': 0.85, 'recall_score': 0.86, 'f1_score': 0.84}","{'accuracy_score': 0.9, 'precision_score': 0.92, 'recall_score': 0.9, 'f1_score': 0.9}","{'accuracy_score': 0.9, 'precision_score': 0.94, 'recall_score': 0.91, 'f1_score': 0.91}"